#        ID              RA           DEC         m_i    reff_arcsec    type
 NGFS034037-352119     55.153440    -35.355145   20.31        8.342   dwarf_non_nucleated
 NGFS033929-353421     54.870451    -35.572583   19.92        8.384   dwarf_non_nucleated
 NGFS033505-352703     53.772229    -35.450817   20.01        8.571   dwarf_non_nucleated
 NGFS033755-345256     54.477823    -34.882293   16.56        8.587   dwarf_non_nucleated
 NGFS033423-355042     53.597238    -35.844970   19.69        8.595   dwarf_non_nucleated
 NGFS034235-355906     55.646015    -35.985095   18.85        8.663   dwarf_non_nucleated
 NGFS034121-355655     55.339077    -35.948656   17.13        8.863   dwarf_non_nucleated
 NGFS033311-353956     53.295536    -35.665602   20.56        8.950   dwarf_non_nucleated
 NGFS033348-355010     53.451743    -35.836019   18.15        9.081   dwarf_non_nucleated
 NGFS033951-351919     54.964090    -35.322073   18.31        9.234   dwarf_non_nucleated
 NGFS033819-350745     54.580167    -35.129050   14.91        9.476   dwarf_non_nucleated
 NGFS034003-352754     55.012990    -35.465073   19.94        9.636   dwarf_non_nucleated
 NGFS034001-344529     55.005457    -34.758155   16.43        9.728   dwarf_non_nucleated
 NGFS034314-353109     55.806295    -35.519108   17.24        9.820   dwarf_non_nucleated
 NGFS034042-353941     55.176865    -35.661430   17.37       10.152   dwarf_non_nucleated
 NGFS033742-355721     54.424789    -35.955757   19.58       10.270   dwarf_non_nucleated
 NGFS034132-353523     55.381966    -35.589611   15.91       10.499   dwarf_non_nucleated
 NGFS033613-360959     54.053605    -36.166272   15.38       10.665   dwarf_non_nucleated
 NGFS034239-355205     55.660661    -35.868071   16.99       11.162   dwarf_non_nucleated
 NGFS033530-351508     53.876525    -35.252294   18.39       11.183   dwarf_non_nucleated
 NGFS034128-354313     55.366334    -35.720336   17.82       11.191   dwarf_non_nucleated
 NGFS033607-355033     54.027772    -35.842585   18.61       12.130   dwarf_non_nucleated
 NGFS033543-352018     53.928093    -35.338458   16.58       12.682   dwarf_non_nucleated
 NGFS034157-351733     55.488894    -35.292364   17.82       13.371   dwarf_non_nucleated
 NGFS033556-344943     53.981764    -34.828508   17.55       13.644   dwarf_non_nucleated
 NGFS033649-361348     54.204847    -36.229999   17.04       15.130   dwarf_non_nucleated
 NGFS034006-361402     55.025400    -36.233800   18.26       16.035   dwarf_non_nucleated
 NGFS033409-353100     53.538247    -35.516529   17.89       18.431   dwarf_non_nucleated
 NGFS034211-352635     55.546540    -35.443142   18.15       18.944   dwarf_non_nucleated
 NGFS033950-350124     54.959189    -35.023227   17.42       20.230   dwarf_non_nucleated
 NGFS033343-355137     53.429284    -35.860335   16.38       28.012   dwarf_non_nucleated
 NGFS033842-352329     54.673700    -35.391500     nan          nan   dwarf_non_nucleated
 NGFS033631-344755     54.128380    -34.798487     nan          nan   dwarf_non_nucleated
 NGFS033611-345034     54.046175    -34.842816     nan          nan   dwarf_non_nucleated
 NGFS033641-353520     54.169379    -35.588968     nan          nan   dwarf_non_nucleated
 NGFS034233-353155     55.637498    -35.531854     nan          nan   dwarf_non_nucleated
 NGFS034335-354028     55.897636    -35.674368     nan          nan   dwarf_non_nucleated
 NGFS033705-343606     54.269670    -34.601697     nan          nan   dwarf_non_nucleated
 NGFS033723-345401     54.346543    -34.900292     nan          nan   dwarf_non_nucleated
 NGFS033556-351740     53.982985    -35.294459     nan          nan   dwarf_non_nucleated
 NGFS033703-345233     54.261056    -34.875774     nan          nan   dwarf_non_nucleated
 NGFS033526-361108     53.857306    -36.185438     nan          nan   dwarf_non_nucleated
 NGFS033643-352609     54.179157    -35.435803     nan          nan   dwarf_non_nucleated
 NGFS033706-352031     54.275000    -35.342000     nan          nan   dwarf_non_nucleated
 NGFS034253-353317     55.720300    -35.554600     nan          nan   dwarf_non_nucleated
 NGFS034123-355348     55.345187    -35.896656     nan          nan   dwarf_non_nucleated
